GID,idx_crime
라라519872,9760.932
라라519873,4241.317
라라519874,5919.611
라라519875,5593.182
라라519876,5864.883
라라519879,3201.734
라라519880,8989.443
라라519881,4699.577
라라519882,6062.804
라라519883,6354.482
라라519884,4300.125
라라519885,4009.337
라라519886,8218.984
라라519887,15344.514
라라519888,11827.485
라라519889,22551.622
라라519890,14711.651
라라519891,5273.64
라라519892,12333.005
라라519893,11733.748
라라519894,169.769
라라519895,6855.772
라라519896,2949.705
라라519897,1157.364
라라520872,2971.853
라라520873,3468.368
라라520874,5362.287
라라520875,8013.341
라라520876,20624.387
라라520877,395.926
라라520878,2977.026
라라520879,1424.567
라라520880,4668.561
라라520881,11358.52
라라520882,1876.578
라라520884,2759.89
라라520885,7224.783
라라520886,10671.911
라라520887,3236.995
라라520888,11454.322
라라520889,18982.491
라라520890,6541.97
라라520891,2499.155
라라520892,6547.409
라라520893,5762.753
라라520894,4697.591
라라520895,6651.438
라라520896,3774.013
라라520897,697.919
라라520898,2672.477
라라520899,379.965
라라520903,1951.553
라라520904,533.314
라라521873,6291.798
라라521874,1954.597
라라521875,7484.971
라라521876,4488.805
라라521877,7815.259
라라521878,4487.157
라라521879,6772.942
라라521880,3586.135
라라521881,12715.652
라라521882,11506.449
라라521883,9361.05
라라521884,8606.258
라라521885,6893.766
라라521886,7423.668
라라521887,7928.331
라라521888,7381.666
라라521889,33032.862
라라521890,22291.906
라라521891,9551.857
라라521892,3711.758
라라521893,6704.049
라라521894,18327.868
라라521895,6537.22
라라521896,1357.724
라라521897,1105.646
라라521898,6326.464
라라521899,1451.441
라라522876,4606.659
라라522877,3697.582
라라522878,5226.538
라라522879,3834.95
라라522880,5861.295
라라522881,6707.972
라라522882,11437.799
라라522883,4893.265
라라522884,6906.348
라라522885,5504.923
라라522886,6396.35
라라522887,12961.298
라라522888,26567.711
라라522889,36862.305
라라522890,36497.008
라라522891,14076.359
라라522892,6501.255
라라522893,7146.984
라라522894,20648.413
라라522895,3893.235
라라522896,314.361
라라522897,6504.019
라라522898,3229.522
라라522929,1440.481
라라523882,749.207
라라523883,246.98
라라523884,1419.758
라라523885,7930.554
라라523886,19122.775
라라523887,10491.846
라라523888,5465.961
라라523889,2196.254
라라523890,14084.588
라라523891,5410.594
라라523892,15807.694
라라523893,10144.75
라라523894,2470.48
라라523902,2468.543
라라523903,1705.315
라라524884,1113.99
라라524885,11362.681
라라524886,8416.406
라라524887,15283.064
라라524888,7515.464
라라524889,7457.719
라라524890,12028.375
라라524891,26902.702
라라524892,24944.111
라라524893,13820.319
라라524894,2393.518
라라524948,6.042
라라525885,10262.133
라라525886,14866.524
라라525887,10438.164
라라525888,20977.442
라라525889,16114.246
라라525890,34523.95
라라525891,34186.542
라라525892,22843.674
라라525893,11028.178
라라525894,6485.06
라라525895,4912.92
라라525896,5177.601
라라525897,1694.098
라라526874,348.405
라라526876,1655.587
라라526877,250.927
라라526886,8866.617
라라526888,8931.957
라라526889,27133.733
라라526890,30848.862
라라526891,38841.054
라라526892,8813.439
라라526893,2572.544
라라526894,5555.976
라라526895,5968.626
라라526896,2497.019
라라527875,619.547
라라527876,3457.777
라라527877,2083.112
라라527878,6598.71
라라527879,2020.358
라라527885,10995.6
라라527886,12276.01
라라527888,16735.563
라라527889,26435.221
라라527890,22457.539
라라527891,20491.219
라라527892,26437.57
라라527893,4137.253
라라527894,5291.037
라라527895,232.583
라라527896,1277.474
라라528873,4195.396
라라528876,75.863
라라528877,8361.42
라라528878,3642.102
라라528879,4493.039
라라528880,332.195
라라528885,13062.986
라라528886,12386.298
라라528887,4970.301
라라528888,7464.061
라라528889,17236.216
라라528890,45180.299
라라528891,32612.648
라라528892,12879.614
라라528893,3520.647
라라528894,1720.017
라라528896,822.152
라라529872,100.802
라라529873,1316.485
라라529875,690.973
라라529876,6562.31
라라529877,5626.803
라라529878,5998.623
라라529879,2961.025
라라529880,1159.078
라라529886,7138.319
라라529887,9750.132
라라529889,15234.873
라라529890,45244.269
라라529891,12975.372
라라529892,9594.738
라라529893,6212.935
라라529895,6205.676
라라529896,6228.223
라라529897,1507.945
라라530872,912.809
라라530875,1710.682
라라530876,8632.065
라라530877,4574.169
라라530878,4001.473
라라530879,5463.936
라라530880,2494.789
라라530881,5890.631
라라530885,4890.086
라라530886,9131.492
