집계군명,가구코드,가구수
38030660030004,ga_sd_005,63.0
38030660030005,ga_sd_005,82.0
38030660030006,ga_sd_005,125.0
38030660030101,ga_sd_005,56.0
38030660030201,ga_sd_005,37.0
38030660030301,ga_sd_005,41.0
38030660030302,ga_sd_005,36.0
38030660030401,ga_sd_005,24.0
38030660030402,ga_sd_005,27.0
38030660030501,ga_sd_005,8.0
38030660030502,ga_sd_005,42.0
38030660030503,ga_sd_005,15.0
38030660030601,ga_sd_005,11.0
38030660030602,ga_sd_005,9.0
38030660030603,ga_sd_005,13.0
38030660030604,ga_sd_005,20.0
38030660030605,ga_sd_005,10.0
38030660030701,ga_sd_005,14.0
38030660030702,ga_sd_005,14.0
38030660030703,ga_sd_005,14.0
38030660030704,ga_sd_005,14.0
38030660030705,ga_sd_005,6.0
38030660030801,ga_sd_005,6.0
38030660030802,ga_sd_005,14.0
38030660030803,ga_sd_005,16.0
38030660030901,ga_sd_005,6.0
38030660030902,ga_sd_005,11.0
38030660030903,ga_sd_005,8.0
38030660030904,ga_sd_005,13.0
38030660030905,ga_sd_005,10.0
38030660030906,ga_sd_005,13.0
38030660030907,ga_sd_005,9.0
38030660030908,ga_sd_005,7.0
38030670010001,ga_sd_005,150.0
38030670010002,ga_sd_005,54.0
38030670010003,ga_sd_005,54.0
38030670010004,ga_sd_005,114.0
38030670010005,ga_sd_005,165.0
38030670010006,ga_sd_005,90.0
38030670010007,ga_sd_005,61.0
38030670010008,ga_sd_005,114.0
38030670010009,ga_sd_005,118.0
38030670010010,ga_sd_005,159.0
38030670010011,ga_sd_005,86.0
38030670010012,ga_sd_005,56.0
38030670010013,ga_sd_005,188.0
38030670010014,ga_sd_005,80.0
38030670010015,ga_sd_005,213.0
38030670010016,ga_sd_005,133.0
38030670010101,ga_sd_005,28.0
38030670010102,ga_sd_005,14.0
38030670010201,ga_sd_005,20.0
38030670010202,ga_sd_005,19.0
38030670010203,ga_sd_005,18.0
38030670010401,ga_sd_005,34.0
38030670010402,ga_sd_005,31.0
38030670010403,ga_sd_005,15.0
38030670010404,ga_sd_005,37.0
38030670010405,ga_sd_005,28.0
38030670010501,ga_sd_005,30.0
38030670010502,ga_sd_005,16.0
38030670010503,ga_sd_005,26.0
38030670010504,ga_sd_005,42.0
38030670010601,ga_sd_005,43.0
38030670010602,ga_sd_005,20.0
38030670010603,ga_sd_005,48.0
38030670010604,ga_sd_005,23.0
38030670010901,ga_sd_005,162.0
38030670011001,ga_sd_005,9.0
38030670011101,ga_sd_005,49.0
38030670011501,ga_sd_005,24.0
38030670011502,ga_sd_005,27.0
38030670011503,ga_sd_005,20.0
38030670011601,ga_sd_005,34.0
38030670012001,ga_sd_005,83.0
38030670012002,ga_sd_005,168.0
38030670012003,ga_sd_005,50.0
38030670012004,ga_sd_005,47.0
38030670012101,ga_sd_005,118.0
38030670012102,ga_sd_005,50.0
38030670012103,ga_sd_005,56.0
38030670012104,ga_sd_005,161.0
38030670012201,ga_sd_005,21.0
38030670012202,ga_sd_005,35.0
38030670012203,ga_sd_005,18.0
38030670012204,ga_sd_005,25.0
38030680010001,ga_sd_005,145.0
38030680010002,ga_sd_005,67.0
38030680010003,ga_sd_005,88.0
38030680010004,ga_sd_005,101.0
38030680010005,ga_sd_005,130.0
38030680010006,ga_sd_005,152.0
38030680010007,ga_sd_005,58.0
38030680010101,ga_sd_005,60.0
38030680010201,ga_sd_005,39.0
38030680010202,ga_sd_005,44.0
38030680010203,ga_sd_005,75.0
38030680020001,ga_sd_005,52.0
38030680020002,ga_sd_005,73.0
38030680020003,ga_sd_005,71.0
38030680020004,ga_sd_005,142.0
38030680020005,ga_sd_005,134.0
38030680020006,ga_sd_005,93.0
38030680020007,ga_sd_005,62.0
38030680020101,ga_sd_005,36.0
38030680020102,ga_sd_005,46.0
38030680020201,ga_sd_005,43.0
38030680020301,ga_sd_005,55.0
38030680020302,ga_sd_005,41.0
38030680020501,ga_sd_005,88.0
38030680020502,ga_sd_005,31.0
38030690010001,ga_sd_005,55.0
38030690010002,ga_sd_005,58.0
38030690010101,ga_sd_005,94.0
38030690010102,ga_sd_005,115.0
38030690020002,ga_sd_005,
38030690020101,ga_sd_005,24.0
38030690020102,ga_sd_005,42.0
38030690020103,ga_sd_005,39.0
38030690020104,ga_sd_005,43.0
38030690020105,ga_sd_005,31.0
38030690020106,ga_sd_005,25.0
38030690030001,ga_sd_005,93.0
38030690030002,ga_sd_005,81.0
38030690030003,ga_sd_005,50.0
38030690030004,ga_sd_005,71.0
38030690030005,ga_sd_005,87.0
38030690030006,ga_sd_005,127.0
38030690030007,ga_sd_005,132.0
38030690030701,ga_sd_005,50.0
38030690040001,ga_sd_005,79.0
38030690050001,ga_sd_005,150.0
38030690050101,ga_sd_005,43.0
38030690060001,ga_sd_005,32.0
38030690070001,ga_sd_005,40.0
38030700010101,ga_sd_005,26.0
38030700010102,ga_sd_005,17.0
38030700010103,ga_sd_005,24.0
38030700010104,ga_sd_005,22.0
38030700020101,ga_sd_005,10.0
38030700020102,ga_sd_005,43.0
