학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000011052,명석중학교,중학교,1971-03-06,공립,본교,운영,경상남도 진주시 명석면 관지리 256,경상남도 진주시 명석면 광제산로12번길 8,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.21727403,128.0419314,2024-03-22
B000007572,선학초등학교,초등학교,2000-09-30,공립,본교,운영,경상남도 진주시 초전동 405-1,경상남도 진주시 하대로105번길 26,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.19593369,128.1231397,2024-03-22
B000007565,망경초등학교,초등학교,1969-03-05,공립,본교,운영,경상남도 진주시 망경동 490,경상남도 진주시 천수로 175,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.17888792,128.0823863,2024-03-22
B000024264,예하초등학교,초등학교,1937-05-06,공립,본교,운영,경상남도 진주시 정촌면 예하리 1294,경상남도 진주시 정촌면 삼일로 50,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.12483283,128.0989431,2024-03-22
B000007554,진주교육대학교부설초등학교,초등학교,1940-05-01,국립,본교,운영,경상남도 진주시 신안동 380,경상남도 진주시 진양호로369번길 3,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.18582508,128.0679281,2024-03-22
B000024393,장재초등학교,초등학교,1953-07-05,공립,본교,운영,경상남도 진주시 초전동 1691,경상남도 진주시 초북로 66,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.21478631,128.1099306,2024-03-22
B000011053,진서중학교,중학교,1953-05-18,공립,본교,운영,경상남도 진주시 수곡면 대천리 226-1,경상남도 진주시 수곡면 옥수로 625,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.19813125,127.9275029,2024-03-22
B000011035,진주중학교,중학교,1925-04-24,공립,본교,운영,경상남도 진주시 상봉동 987-3,경상남도 진주시 의곡길 15,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.1995329,128.0805137,2024-03-22
B000007560,가좌초등학교,초등학교,2006-05-06,공립,본교,운영,경상남도 진주시 가좌동 564,경상남도 진주시 내동로 348,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.15029857,128.1022473,2024-03-22
B000011760,경진고등학교,고등학교,1981-03-01,사립,본교,운영,경상남도 진주시 상봉동 831-3,경상남도 진주시 의병로71번길 3-21,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.20041487,128.0663566,2024-03-22
B000007573,금성초등학교,초등학교,1943-10-21,공립,본교,운영,경상남도 진주시 초전동 686-1,경상남도 진주시 말티고개로123번길 19,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.19843972,128.1154788,2024-03-22
B000007558,봉래초등학교,초등학교,1910-07-01,공립,본교,운영,경상남도 진주시 봉래동 27-2,경상남도 진주시 의병로 265,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.20016135,128.0861878,2024-03-22
B000013326,대아고등학교,고등학교,1966-04-08,사립,본교,운영,경상남도 진주시 이현동 316,경상남도 진주시 서장대로185번길 14,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.18992819,128.0583889,2024-03-22
B000007580,관봉초등학교,초등학교,1934-05-01,공립,본교,운영,경상남도 진주시 정촌면 관봉리 1150,경상남도 진주시 정촌면 정촌로 629,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.13711732,128.1431455,2024-03-22
B000011040,진주여자중학교,중학교,1925-03-01,공립,본교,운영,경상남도 진주시 이현동 91,경상남도 진주시 평거로 195,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.1843521,128.0659306,2024-03-22
B000011043,대아중학교,중학교,1955-04-08,사립,본교,운영,경상남도 진주시 이현동 316,경상남도 진주시 서장대로185번길 14,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.18992819,128.0583889,2024-03-22
B000011761,경남자동차고등학교,고등학교,1971-05-13,사립,본교,운영,경상남도 진주시 장재동 590,경상남도 진주시 진산로 378,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.21943516,128.1015361,2024-03-22
B000007595,수곡초등학교,초등학교,1932-05-02,공립,본교,운영,경상남도 진주시 수곡면 대천리 98-1,경상남도 진주시 수곡면 곤수로 1000,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.20117977,127.9317405,2024-03-22
B000007593,명석초등학교,초등학교,1949-12-15,공립,본교,운영,경상남도 진주시 명석면 우수리 109,경상남도 진주시 명석면 광제산로 23,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.21810609,128.0402584,2024-03-22
B000007588,대곡초등학교,초등학교,1927-04-24,공립,본교,운영,경상남도 진주시 대곡면 와룡리 591,경상남도 진주시 대곡면 진의로 970,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.2581082,128.1770878,2024-03-22
B000007590,금산초등학교,초등학교,1922-10-09,공립,본교,운영,경상남도 진주시 금산면 중천리 251,경상남도 진주시 금산면 금산로 75,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.21530273,128.1443217,2024-03-22
B000007587,지수초등학교,초등학교,1921-05-09,공립,본교,운영,경상남도 진주시 지수면 압사리 1065-1,경상남도 진주시 지수면 지사로 806,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.23347031,128.25244,2024-03-22
B000013332,진서고등학교,고등학교,1981-11-25,공립,본교,운영,경상남도 진주시 수곡면 대천리 226-1,경상남도 진주시 수곡면 옥수로 625,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.19813125,127.9275029,2024-03-22
B000007592,미천초등학교,초등학교,1926-04-15,공립,본교,운영,경상남도 진주시 미천면 안간리 797-5,경상남도 진주시 미천면 안간길 18-8,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.31901846,128.0880737,2024-03-22
B000007583,진성초등학교,초등학교,1933-04-30,공립,본교,운영,경상남도 진주시 진성면 상촌리 541-2,경상남도 진주시 진성면 진성로355번길 10,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.17030711,128.2246874,2024-03-22
