gid,no,instl_pupr,administ,instl_dtl,lo,la,tot_camera,pixel,instl_de,geometry
102602,21484,생활방범,경상남도 진주시청,경상남도 진주시 정촌면 대축길 237,128.096661,35.135952,2,200,2022-11-21,POINT (128.096661 35.135952)
102603,21485,생활방범,경상남도 진주시청,,128.093225,35.122042,2,200,2022-11-21,POINT (128.093225 35.122042)
102604,21486,생활방범,경상남도 진주시청,,128.064005,35.162203,2,200,2022-11-21,POINT (128.064005 35.162203)
102605,21487,생활방범,경상남도 진주시청,경상남도 진주시 호탄길22번길 6 (호탄동),128.116967,35.163408,1,200,2022-11-21,POINT (128.116967 35.163408)
102606,21488,어린이보호,경상남도 진주시청,,128.102293,35.150057,2,200,2022-11-21,POINT (128.102293 35.150057)
102607,21489,어린이보호,경상남도 진주시청,,128.111243,35.163179,2,200,2022-11-21,POINT (128.111243 35.163179)
102608,21490,어린이보호,경상남도 진주시청,,128.107919,35.159468,2,200,2022-11-21,POINT (128.107919 35.159468)
102609,21491,어린이보호,경상남도 진주시청,,128.110856,35.164168,2,200,2022-11-21,POINT (128.110856 35.164168)
102610,21492,생활방범,경상남도 진주시청,경상남도 진주시 진주대로 685 (가좌동),128.105001,35.165888,2,200,2022-11-21,POINT (128.105001 35.165888)
102611,21493,생활방범,경상남도 진주시청,경상남도 진주시 진양호로83번길 13-11 (판문동),128.048272,35.168245,2,200,2022-11-21,POINT (128.048272 35.168245)
102612,21494,생활방범,경상남도 진주시청,경상남도 진주시 진양호로97번길 13 (평거동),128.050312,35.168587,4,200,2022-11-21,POINT (128.050312 35.168587)
102613,21495,생활방범,경상남도 진주시청,경상남도 진주시 판문오동길 88 (판문동),128.04038,35.175522,2,200,2022-11-21,POINT (128.04038 35.175522)
102614,21496,생활방범,경상남도 진주시청,,128.032922,35.202689,2,200,2022-11-21,POINT (128.032922 35.202689)
102615,21497,생활방범,경상남도 진주시청,경상남도 진주시 진양호로65번길 6 (판문동),128.047067,35.167595,3,200,2022-11-21,POINT (128.047067 35.167595)
102616,21498,생활방범,경상남도 진주시청,경상남도 진주시 석갑로173번길 14 (이현동),128.062556,35.185851,3,200,2022-11-21,POINT (128.062556 35.185851)
102618,21500,생활방범,경상남도 진주시청,"경상남도 진주시 신안로164번길 7 (이현동, 삼호가든맨션)",128.067484,35.192001,2,200,2022-11-21,POINT (128.067484 35.192001)
102619,21501,생활방범,경상남도 진주시청,,128.040996,35.165264,2,200,2022-11-21,POINT (128.040996 35.165264)
102620,21502,생활방범,경상남도 진주시청,,128.041674,35.166716,4,200,2022-11-21,POINT (128.041674 35.166716)
102621,21503,생활방범,경상남도 진주시청,경상남도 진주시 남강로373번길 3 (평거동),128.066776,35.171026,4,200,2022-11-21,POINT (128.066776 35.171026)
102622,21504,생활방범,경상남도 진주시청,,128.07034,35.176926,3,200,2022-11-21,POINT (128.07034 35.176926)
102623,21505,생활방범,경상남도 진주시청,,128.058499,35.169143,2,200,2022-11-21,POINT (128.058499 35.169143)
102624,21506,생활방범,경상남도 진주시청,,128.058402,35.173643,4,200,2022-11-21,POINT (128.058402 35.173643)
102625,21507,생활방범,경상남도 진주시청,,128.061353,35.168808,2,200,2022-11-21,POINT (128.061353 35.168808)
102626,21508,생활방범,경상남도 진주시청,,128.063471,35.174878,2,200,2022-11-21,POINT (128.063471 35.174878)
102627,21509,생활방범,경상남도 진주시청,,128.058402,35.173643,2,200,2022-11-21,POINT (128.058402 35.173643)
102853,21735,생활방범,경상남도 진주시청,,128.06484,35.182247,2,200,2022-11-21,POINT (128.06484 35.182247)
102857,21739,생활방범,경상남도 진주시청,,128.114599,35.206956,3,200,2022-11-21,POINT (128.114599 35.206956)
102778,21660,생활방범,경상남도 진주시청,경상남도 진주시 평거로6번길 11 (평거동),128.063211,35.170809,2,200,2022-11-21,POINT (128.063211 35.170809)
102779,21661,생활방범,경상남도 진주시청,,128.108457,35.313145,2,200,2022-11-21,POINT (128.108457 35.313145)
102780,21662,생활방범,경상남도 진주시청,경상남도 진주시 석갑로76번길 3 (신안동),128.063142,35.178235,2,200,2022-11-21,POINT (128.063142 35.178235)
102781,21663,생활방범,경상남도 진주시청,경상남도 진주시 초전남로 41 (초전동),128.104957,35.127356,2,200,2022-11-21,POINT (128.104957 35.127356)
102782,21664,생활방범,경상남도 진주시청,경상남도 진주시 서장대로283번길 9 (이현동),128.063948,35.192863,2,200,2022-11-21,POINT (128.063948 35.192863)
102783,21665,생활방범,경상남도 진주시청,경상남도 진주시 모덕로294번길 12 (하대동),128.126157,35.188129,3,200,2022-11-21,POINT (128.126157 35.188129)
102784,21666,생활방범,경상남도 진주시청,경상남도 진주시 남강로29번길 29 (평거동),128.04292,35.165848,3,200,2022-11-21,POINT (128.04292 35.165848)
102785,21667,생활방범,경상남도 진주시청,경상남도 진주시 북장대로6번길 7 (인사동),128.075856,35.191016,3,200,2022-11-21,POINT (128.075856 35.191016)
102854,21736,생활방범,경상남도 진주시청,,128.06484,35.182247,3,200,2022-11-21,POINT (128.06484 35.182247)
102786,21668,생활방범,경상남도 진주시청,경상남도 진주시 향교로41번길 7 (수정동),128.085782,35.198615,2,200,2022-11-21,POINT (128.085782 35.198615)
102787,21669,생활방범,경상남도 진주시청,경상남도 진주시 대신로389번길 5 (하대동),128.115965,35.195312,3,200,2022-11-21,POINT (128.115965 35.195312)
102788,21670,생활방범,경상남도 진주시청,경상남도 진주시 신안들말길10번길 10-1 (신안동),128.070591,35.178787,2,200,2022-11-21,POINT (128.070591 35.178787)
102789,21671,생활방범,경상남도 진주시청,경상남도 진주시 가호로4번길 11 (가좌동),128.107302,35.162273,2,200,2022-11-21,POINT (128.107302 35.162273)
102790,21672,생활방범,경상남도 진주시청,경상남도 진주시 평거로26번길 10 (평거동),128.064723,35.172275,4,200,2022-11-21,POINT (128.064723 35.172275)
102791,21673,생활방범,경상남도 진주시청,경상남도 진주시 초전북로39번길 14 (초전동),128.111026,35.209295,4,200,2022-11-21,POINT (128.111026 35.209295)
102792,21674,생활방범,경상남도 진주시청,경상남도 진주시 대신로110번길 23 (상평동),128.121028,35.170248,4,200,2022-11-21,POINT (128.121028 35.170248)
102793,21675,생활방범,경상남도 진주시청,경상남도 진주시 솔밭로140번길 6 (상대동),128.10775,35.181756,2,200,2022-11-21,POINT (128.10775 35.181756)
102794,21676,생활방범,경상남도 진주시청,경상남도 진주시 남강로 875-18 (상대동),128.101298,35.181315,2,200,2022-11-21,POINT (128.101298 35.181315)
102795,21677,생활방범,경상남도 진주시청,경상남도 진주시 촉석로97번길 11 (봉곡동),128.072737,35.193729,4,200,2022-11-21,POINT (128.072737 35.193729)
102796,21678,생활방범,경상남도 진주시청,경상남도 진주시 북장대로63번길 9 (봉곡동),128.072204,35.195472,3,200,2022-11-21,POINT (128.072204 35.195472)
102797,21679,생활방범,경상남도 진주시청,경상남도 진주시 망경남길24번길 19-2 (망경동),128.085779,35.181677,3,200,2022-11-21,POINT (128.085779 35.181677)
102798,21680,차량방범,경상남도 진주시청,,127.935662,35.243586,3,200,2022-11-21,POINT (127.935662 35.243586)
102799,21681,차량방범,경상남도 진주시청,,127.957571,35.158389,2,200,2022-11-21,POINT (127.957571 35.158389)
102800,21682,차량방범,경상남도 진주시청,,127.89525,35.22514,2,200,2022-11-21,POINT (127.89525 35.22514)
102801,21683,차량방범,경상남도 진주시청,,127.954609,35.240449,2,200,2022-11-21,POINT (127.954609 35.240449)
102802,21684,차량방범,경상남도 진주시청,,127.992074,35.159929,2,200,2022-11-21,POINT (127.992074 35.159929)
102803,21685,차량방범,경상남도 진주시청,,127.993602,35.278305,2,200,2022-11-21,POINT (127.993602 35.278305)
102804,21686,차량방범,경상남도 진주시청,,128.045112,35.234408,1,200,2022-11-21,POINT (128.045112 35.234408)
102805,21687,차량방범,경상남도 진주시청,경상남도 진주시 명석면 남성로250번길 2,128.05786,35.252937,1,200,2022-11-21,POINT (128.05786 35.252937)
